,year_released,reporting_year,race,sex,age_at_release,conviction_class,convicting_type,conviction_subtype,release_type,supervising_district,recidivism,recidivism_type,days_to_recidivism,new_conviction_class,new_conviction_type,new_conviction_subtype,target_poulation,sort_number,initial_supervision_status,recidivism_supervision_status
4685,2011,2014,White - Non-Hispanic,,45-54,C Felony,Violent,Murder/Manslaughter,Parole,2JD,No,Parole,,,,,Yes,,,
4686,2011,2014,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Drug,Drug Possession,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,628.0,D Felony,Property,Burglary,No,,,
4687,2011,2014,White - Non-Hispanic,,25-34,Felony - Mandatory Minimum,Violent,Sex,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4688,2011,2014,White - Non-Hispanic,,25-34,C Felony,Property,Theft,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4689,2011,2014,White - Non-Hispanic,,35-44,C Felony,Violent,Assault,Parole,1JD,No,Parole,,,,,Yes,,,
4690,2011,2014,White - Non-Hispanic,,Under 25,D Felony,Property,Burglary,Parole,5JD,Yes,Parole,674.0,Aggravated Misdemeanor,Property,Forgery/Fraud,Yes,,,
4691,2011,2014,American Indian or Alaska Native - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,703.0,C Felony,Property,Burglary,No,,,
4692,2011,2014,White - Non-Hispanic,,35-44,C Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,201.0,Felony - Enhancement to Original Penalty,Drug,Trafficking,No,,,
4693,2011,2014,White - Non-Hispanic,,Under 25,D Felony,Property,Forgery/Fraud,Parole,8JD,Yes,Parole,302.0,,,,Yes,,,
4694,2011,2014,White - Non-Hispanic,,35-44,C Felony,Drug,Trafficking,Parole,6JD,No,Parole,,,,,Yes,,,
4695,2011,2014,White - Non-Hispanic,,35-44,C Felony,Drug,Trafficking,Parole,6JD,No,Parole,,,,,Yes,,,
4696,2011,2014,White - Non-Hispanic,,25-34,D Felony,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,644.0,Aggravated Misdemeanor,Public Order,Weapons,No,,,
4697,2011,2014,Black - Non-Hispanic,,25-34,Aggravated Misdemeanor,Property,Forgery/Fraud,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4698,2011,2014,Black - Non-Hispanic,,55 and Older,Felony - Enhancement to Original Penalty,Other,Other Criminal,Parole,6JD,No,Parole,,,,,Yes,,,
4699,2011,2014,White - Non-Hispanic,,35-44,C Felony,Violent,Sex,Parole,Interstate Compact,No,Parole,,,,,No,,,
4700,2011,2014,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,397.0,,,,Yes,,,
4701,2011,2014,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,107.0,Aggravated Misdemeanor,Violent,Assault,No,,,
4702,2011,2014,White - Non-Hispanic,,Under 25,Serious Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4703,2011,2014,White - Non-Hispanic,,Under 25,Serious Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4704,2011,2014,White - Non-Hispanic,,Under 25,Serious Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4705,2011,2014,White - Non-Hispanic,,Under 25,Serious Misdemeanor,Violent,Assault,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4706,2011,2014,White - Non-Hispanic,,25-34,B Felony,Drug,Trafficking,Parole,Interstate Compact,No,Parole,,,,,No,,,
4707,2011,2014,White - Non-Hispanic,,45-54,C Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,811.0,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,,,
4708,2011,2014,White - Hispanic,,25-34,D Felony,Public Order,OWI,Parole,5JD,Yes,Parole,232.0,D Felony,Public Order,OWI,Yes,,,
4709,2011,2014,White - Hispanic,,25-34,D Felony,Property,Burglary,Parole,2JD,No,Parole,,,,,Yes,,,
4710,2011,2014,White - Non-Hispanic,,55 and Older,Aggravated Misdemeanor,Public Order,OWI,Parole,5JD,No,Parole,,,,,Yes,,,
4711,2011,2014,Black - Non-Hispanic,,45-54,C Felony,Property,Burglary,Parole,7JD,No,Parole,,,,,Yes,,,
4712,2011,2014,White - Non-Hispanic,,Under 25,D Felony,Property,Theft,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,550.0,C Felony,Drug,Trafficking,No,,,
4713,2011,2014,White - Non-Hispanic,,45-54,B Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,580.0,,,,Yes,,,
4714,2011,2014,White - Non-Hispanic,,35-44,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4715,2011,2014,White - Non-Hispanic,,35-44,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4716,2011,2014,White - Non-Hispanic,,35-44,B Felony,Drug,Trafficking,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4717,2011,2014,White - Non-Hispanic,,55 and Older,Aggravated Misdemeanor,Property,Forgery/Fraud,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4718,2011,2014,Black - Non-Hispanic,,35-44,D Felony,Drug,Drug Possession,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4719,2014,2017,White - Non-Hispanic,,25-34,D Felony,Other,Other Criminal,,,No,,,,,,No,,,
4720,2011,2014,Black - Non-Hispanic,,35-44,D Felony,Drug,Drug Possession,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4721,2011,2014,White - Hispanic,,35-44,D Felony,Property,Burglary,Parole,Interstate Compact,No,Parole,,,,,No,,,
4722,2011,2014,White - Non-Hispanic,,25-34,C Felony,Property,Theft,Parole,2JD,Yes,Parole,733.0,Aggravated Misdemeanor,Violent,Assault,Yes,,,
4723,2011,2014,White - Non-Hispanic,,45-54,Aggravated Misdemeanor,Public Order,Traffic,Parole,5JD,No,Parole,,,,,Yes,,,
4724,2011,2014,Black - Non-Hispanic,,Under 25,C Felony,Drug,Trafficking,Parole,8JD,Yes,Parole,210.0,,,,Yes,,,
4725,2011,2014,White - Non-Hispanic,,45-54,D Felony,Public Order,Traffic,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4726,2011,2014,White - Non-Hispanic,,45-54,D Felony,Violent,Other Violent,Parole,8JD,No,Parole,,,,,Yes,,,
4727,2011,2014,White - Hispanic,,25-34,D Felony,Public Order,OWI,Parole,5JD,No,Parole,,,,,Yes,,,
4728,2011,2014,White - Non-Hispanic,,25-34,D Felony,Violent,Other Violent,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,722.0,Aggravated Misdemeanor,Property,Theft,No,,,
4729,2011,2014,White - Hispanic,,55 and Older,D Felony,Public Order,OWI,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4730,2011,2014,White - Non-Hispanic,,25-34,D Felony,Property,Burglary,Parole,8JD,Yes,Parole,797.0,Felony - Enhancement to Original Penalty,Property,Burglary,Yes,,,
4731,2011,2014,White - Non-Hispanic,,45-54,Aggravated Misdemeanor,Drug,Drug Possession,Parole,2JD,No,Parole,,,,,Yes,,,
4732,2011,2014,White - Hispanic,,Under 25,C Felony,Violent,Assault,Parole,Interstate Compact,No,Parole,,,,,No,,,
4733,2011,2014,White - Non-Hispanic,,Under 25,C Felony,Violent,Other Violent,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4734,2011,2014,White - Non-Hispanic,,Under 25,D Felony,Property,Burglary,Parole,7JD,Yes,Parole,1016.0,Aggravated Misdemeanor,Violent,Assault,Yes,,,
4735,2011,2014,White - Non-Hispanic,,45-54,Aggravated Misdemeanor,Public Order,OWI,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4736,2011,2014,White - Non-Hispanic,,45-54,Aggravated Misdemeanor,Public Order,OWI,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4737,2011,2014,White - Non-Hispanic,,45-54,Aggravated Misdemeanor,Public Order,OWI,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4738,2011,2014,White - Non-Hispanic,,45-54,Aggravated Misdemeanor,Public Order,OWI,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4739,2011,2014,White - Non-Hispanic,,45-54,Aggravated Misdemeanor,Public Order,OWI,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4740,2011,2014,White - Non-Hispanic,,45-54,Aggravated Misdemeanor,Public Order,OWI,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4741,2011,2014,White - Non-Hispanic,,45-54,Aggravated Misdemeanor,Public Order,OWI,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4742,2011,2014,White - Non-Hispanic,,45-54,Aggravated Misdemeanor,Public Order,OWI,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4743,2011,2014,White - Non-Hispanic,,45-54,Aggravated Misdemeanor,Public Order,OWI,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4744,2011,2014,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,706.0,C Felony,Drug,Trafficking,No,,,
4745,2011,2014,White - Non-Hispanic,,Under 25,B Felony,Violent,Other Violent,Parole,5JD,No,Parole,,,,,Yes,,,
4746,2011,2014,White - Hispanic,,25-34,D Felony,Public Order,OWI,Parole,6JD,No,Parole,,,,,Yes,,,
4747,2011,2014,White - Non-Hispanic,,35-44,C Felony,Drug,Trafficking,Parole,2JD,No,Parole,,,,,Yes,,,
4748,2011,2014,White - Non-Hispanic,,35-44,C Felony,Drug,Trafficking,Parole,2JD,No,Parole,,,,,Yes,,,
4749,2011,2014,White - Non-Hispanic,,35-44,C Felony,Drug,Trafficking,Parole,2JD,No,Parole,,,,,Yes,,,
4750,2011,2014,Black - Non-Hispanic,,25-34,B Felony,Drug,Trafficking,Parole,1JD,No,Parole,,,,,Yes,,,
4751,2011,2014,Black - Non-Hispanic,,25-34,B Felony,Drug,Trafficking,Parole,1JD,No,Parole,,,,,Yes,,,
4752,2011,2014,Black - Non-Hispanic,,25-34,B Felony,Drug,Trafficking,Parole,1JD,No,Parole,,,,,Yes,,,
4753,2011,2014,Black - Non-Hispanic,,45-54,C Felony,Drug,Trafficking,Parole,1JD,Yes,Parole,952.0,D Felony,Property,Forgery/Fraud,Yes,,,
4754,2011,2014,White - Non-Hispanic,,45-54,D Felony,Drug,Drug Possession,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,257.0,D Felony,Drug,Drug Possession,No,,,
4755,2011,2014,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Drug,Drug Possession,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,939.0,D Felony,Property,Forgery/Fraud,No,,,
4756,2011,2014,Black - Non-Hispanic,,35-44,C Felony,Property,Burglary,Parole,2JD,No,Parole,,,,,Yes,,,
4757,2011,2014,White - Non-Hispanic,,25-34,C Felony,Violent,Assault,Parole,7JD,No,Parole,,,,,Yes,,,
4758,2011,2014,White - Non-Hispanic,,25-34,C Felony,Violent,Assault,Parole,7JD,No,Parole,,,,,Yes,,,
4759,2011,2014,White - Hispanic,,25-34,Felony - Enhancement to Original Penalty,Drug,Trafficking,Parole,Interstate Compact,No,Parole,,,,,No,,,
4760,2011,2014,White - Non-Hispanic,,45-54,B Felony,Drug,Trafficking,Parole,5JD,No,Parole,,,,,Yes,,,
4761,2011,2014,White - Non-Hispanic,,45-54,B Felony,Drug,Trafficking,Parole,5JD,No,Parole,,,,,Yes,,,
4762,2011,2014,White - Non-Hispanic,,45-54,B Felony,Drug,Trafficking,Parole,5JD,No,Parole,,,,,Yes,,,
4763,2011,2014,White - Non-Hispanic,,45-54,B Felony,Drug,Trafficking,Parole,5JD,No,Parole,,,,,Yes,,,
4764,2011,2014,White - Non-Hispanic,,45-54,B Felony,Drug,Trafficking,Parole,5JD,No,Parole,,,,,Yes,,,
4765,2011,2014,White - Non-Hispanic,,45-54,B Felony,Drug,Trafficking,Parole,5JD,No,Parole,,,,,Yes,,,
4766,2011,2014,Black - Non-Hispanic,,55 and Older,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,662.0,Aggravated Misdemeanor,Property,Theft,No,,,
4767,2011,2014,White - Non-Hispanic,,45-54,D Felony,Violent,Assault,Parole,4JD,No,Parole,,,,,Yes,,,
4768,2011,2014,White - Non-Hispanic,,25-34,C Felony,Property,Burglary,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,269.0,Felony - Enhancement to Original Penalty,Property,Theft,No,,,
4769,2011,2014,White - Non-Hispanic,,45-54,Aggravated Misdemeanor,Public Order,Alcohol,Parole,5JD,Yes,Parole,448.0,D Felony,Drug,Trafficking,Yes,,,
4770,2011,2014,White - Non-Hispanic,,35-44,D Felony,Property,Forgery/Fraud,Parole,7JD,No,Parole,,,,,Yes,,,
4771,2011,2014,Black - Non-Hispanic,,Under 25,C Felony,Property,Theft,Parole,8JD,No,Parole,,,,,Yes,,,
4772,2011,2014,Black - Non-Hispanic,,25-34,D Felony,Property,Burglary,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,854.0,D Felony,Violent,Assault,No,,,
4773,2011,2014,White - Non-Hispanic,,25-34,Felony - Enhancement to Original Penalty,Drug,Trafficking,Parole,3JD,No,Parole,,,,,Yes,,,
4774,2011,2014,American Indian or Alaska Native - Non-Hispanic,,Under 25,D Felony,Violent,Assault,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4775,2011,2014,White - Non-Hispanic,,45-54,B Felony,Drug,Trafficking,Parole,2JD,Yes,Parole,414.0,Aggravated Misdemeanor,Drug,Drug Possession,Yes,,,
4776,2011,2014,White - Non-Hispanic,,Under 25,D Felony,Public Order,Other Public Order,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4777,2011,2014,White - Non-Hispanic,,25-34,Felony - Enhancement to Original Penalty,Other,Other Criminal,Parole,Interstate Compact,No,Parole,,,,,No,,,
4778,2011,2014,Black - Non-Hispanic,,55 and Older,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4779,2011,2014,Black - Non-Hispanic,,55 and Older,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4780,2011,2014,White - Non-Hispanic,,45-54,D Felony,Property,Theft,Parole,5JD,No,Parole,,,,,Yes,,,
4781,2011,2014,White - Non-Hispanic,,45-54,Felony - Enhancement to Original Penalty,Other,Other Criminal,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4782,2011,2014,White - Non-Hispanic,,45-54,Felony - Enhancement to Original Penalty,Other,Other Criminal,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4783,2011,2014,White - Non-Hispanic,,45-54,Felony - Enhancement to Original Penalty,Other,Other Criminal,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4784,2011,2014,White - Non-Hispanic,,45-54,Felony - Enhancement to Original Penalty,Other,Other Criminal,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4785,2011,2014,White - Non-Hispanic,,35-44,Felony - Enhancement to Original Penalty,Drug,Trafficking,Parole,4JD,No,Parole,,,,,Yes,,,
4786,2011,2014,White - Non-Hispanic,,Under 25,D Felony,Property,Theft,Parole,4JD,No,Parole,,,,,Yes,,,
4787,2011,2014,White - Non-Hispanic,,Under 25,D Felony,Violent,Assault,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4788,2011,2014,White - Non-Hispanic,,Under 25,D Felony,Violent,Assault,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4789,2011,2014,White - Non-Hispanic,,Under 25,D Felony,Violent,Assault,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4790,2011,2014,White - Hispanic,,Under 25,C Felony,Drug,Trafficking,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4791,2011,2014,White - Non-Hispanic,,45-54,D Felony,Property,Theft,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4792,2011,2014,Black - Non-Hispanic,,25-34,D Felony,Public Order,OWI,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,664.0,Felony - Enhancement to Original Penalty,Public Order,OWI,No,,,
4793,2011,2014,White - Non-Hispanic,,35-44,B Felony,Other,Other Criminal,Parole,2JD,No,Parole,,,,,Yes,,,
4794,2011,2014,White - Non-Hispanic,,35-44,D Felony,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,969.0,D Felony,Violent,Assault,No,,,
4795,2011,2014,Black - Non-Hispanic,,25-34,Felony - Enhancement to Original Penalty,Other,Other Criminal,Parole,1JD,Yes,Parole,331.0,,,,Yes,,,
4796,2011,2014,White - Non-Hispanic,,35-44,D Felony,Drug,Drug Possession,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,307.0,C Felony,Drug,Trafficking,No,,,
4797,2011,2014,Black - Non-Hispanic,,45-54,B Felony,Property,Arson,Parole,1JD,No,Parole,,,,,Yes,,,
4798,2011,2014,Black - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,292.0,C Felony,Property,Theft,No,,,
4799,2011,2014,White - Non-Hispanic,,35-44,D Felony,Drug,Drug Possession,Parole,2JD,Yes,Parole,474.0,Felony - Enhancement to Original Penalty,Property,Burglary,Yes,,,
4800,2011,2014,White - Non-Hispanic,,35-44,Felony - Enhancement to Original Penalty,Other,Other Criminal,Parole,5JD,Yes,Parole,90.0,,,,Yes,,,
4801,2011,2014,Black - Non-Hispanic,,35-44,C Felony,Drug,Trafficking,Parole,8JD,No,Parole,,,,,Yes,,,
4802,2011,2014,White - Non-Hispanic,,25-34,D Felony,Drug,Trafficking,Parole,6JD,Yes,Parole,462.0,,,,Yes,,,
4803,2011,2014,White - Non-Hispanic,,35-44,B Felony,Drug,Trafficking,Parole,2JD,No,Parole,,,,,Yes,,,
4804,2011,2014,Asian or Pacific Islander - Non-Hispanic,,25-34,Aggravated Misdemeanor,Public Order,Traffic,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4805,2011,2014,White - Non-Hispanic,,35-44,D Felony,Drug,Drug Possession,Parole,1JD,Yes,Parole,165.0,D Felony,Property,Theft,Yes,,,
4806,2011,2014,White - Non-Hispanic,,25-34,D Felony,Property,Vandalism,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4807,2011,2014,White - Non-Hispanic,,25-34,D Felony,Property,Vandalism,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4808,2011,2014,White - Non-Hispanic,,25-34,D Felony,Property,Vandalism,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4809,2011,2014,White - Non-Hispanic,,25-34,D Felony,Property,Vandalism,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4810,2011,2014,White - Non-Hispanic,,25-34,D Felony,Other,Other Criminal,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4811,2011,2014,Black - Non-Hispanic,,35-44,D Felony,Property,Forgery/Fraud,Parole,Interstate Compact,No,Parole,,,,,No,,,
4812,2011,2014,White - Non-Hispanic,,25-34,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4813,2011,2014,White - Non-Hispanic,,25-34,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4814,2011,2014,White - Non-Hispanic,,25-34,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4815,2011,2014,White - Non-Hispanic,,25-34,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4816,2011,2014,White - Non-Hispanic,,25-34,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4817,2011,2014,White - Non-Hispanic,,35-44,C Felony,Violent,Murder/Manslaughter,Parole,,No,Parole,,,,,No,,,
4818,2011,2014,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Violent,Sex,Special Sentence,6JD,Yes,Special Sentence,894.0,,,,Yes,,,
4819,2014,2017,White - Non-Hispanic,,25-34,D Felony,Other,Other Criminal,,,No,,,,,,No,,,
4820,2011,2014,Black - Non-Hispanic,,25-34,C Felony,Violent,Sex,Special Sentence,3JD,Yes,Special Sentence,543.0,,,,Yes,,,
4821,2011,2014,White - Non-Hispanic,,25-34,D Felony,Public Order,Weapons,Parole,Interstate Compact,Yes,Parole,182.0,,,,No,,,
4822,2011,2014,White - Non-Hispanic,,45-54,C Felony,Drug,Trafficking,Parole,7JD,No,Parole,,,,,Yes,,,
4823,2011,2014,White - Non-Hispanic,,55 and Older,C Felony,Violent,Sex,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4824,2011,2014,White - Non-Hispanic,,55 and Older,C Felony,Violent,Sex,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4825,2011,2014,White - Non-Hispanic,,55 and Older,C Felony,Violent,Sex,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4826,2011,2014,White - Non-Hispanic,,55 and Older,C Felony,Violent,Sex,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4827,2011,2014,White - Non-Hispanic,,55 and Older,C Felony,Violent,Sex,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4828,2011,2014,White - Non-Hispanic,,55 and Older,C Felony,Violent,Sex,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4829,2011,2014,White - Non-Hispanic,,55 and Older,C Felony,Violent,Sex,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4830,2011,2014,White - Non-Hispanic,,55 and Older,C Felony,Violent,Sex,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4831,2011,2014,White - Non-Hispanic,,55 and Older,C Felony,Violent,Sex,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4832,2011,2014,White - Hispanic,,35-44,D Felony,Public Order,OWI,Parole,3JD,No,Parole,,,,,Yes,,,
4833,2011,2014,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Public Order,Other Public Order,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,420.0,Aggravated Misdemeanor,Violent,Assault,No,,,
4834,2011,2014,Black - Non-Hispanic,,Under 25,C Felony,Violent,Other Violent,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4835,2011,2014,White - Non-Hispanic,,25-34,Felony - Enhancement to Original Penalty,Violent,Sex,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4836,2011,2014,White - Non-Hispanic,,Under 25,D Felony,Property,Burglary,Parole,3JD,Yes,Parole,180.0,,,,Yes,,,
4837,2011,2014,Black - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,Interstate Compact,No,Parole,,,,,No,,,
4838,2011,2014,White - Non-Hispanic,,35-44,D Felony,Property,Forgery/Fraud,Parole,6JD,No,Parole,,,,,Yes,,,
4839,2011,2014,White - Non-Hispanic,,35-44,D Felony,Property,Forgery/Fraud,Parole,6JD,No,Parole,,,,,Yes,,,
4840,2011,2014,Black - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,Interstate Compact,Yes,Parole,622.0,,,,No,,,
4841,2011,2014,Black - Non-Hispanic,,55 and Older,C Felony,Drug,Trafficking,Parole,2JD,Yes,Parole,490.0,Aggravated Misdemeanor,Property,Theft,Yes,,,
4842,2011,2014,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,418.0,,,,Yes,,,
4843,2011,2014,White - Non-Hispanic,,25-34,B Felony,Other,Other Criminal,Parole,4JD,No,Parole,,,,,Yes,,,
4844,2011,2014,White - Non-Hispanic,,35-44,C Felony,Property,Theft,Parole,5JD,No,Parole,,,,,Yes,,,
4845,2011,2014,White - Non-Hispanic,,35-44,C Felony,Property,Theft,Parole,5JD,No,Parole,,,,,Yes,,,
4846,2011,2014,American Indian or Alaska Native - Non-Hispanic,,55 and Older,D Felony,Public Order,OWI,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4847,2011,2014,White - Hispanic,,25-34,Aggravated Misdemeanor,Public Order,OWI,Parole,Interstate Compact,No,Parole,,,,,No,,,
4848,2011,2014,White - Non-Hispanic,,35-44,B Felony,Drug,Trafficking,Parole,1JD,Yes,Parole,311.0,Serious Misdemeanor,Violent,Assault,Yes,,,
4849,2011,2014,White - Non-Hispanic,,35-44,D Felony,Violent,Assault,Parole,3JD,No,Parole,,,,,Yes,,,
4850,2011,2014,Black - Non-Hispanic,,25-34,B Felony,Violent,Murder/Manslaughter,Parole,7JD,No,Parole,,,,,Yes,,,
4851,2011,2014,Black - Non-Hispanic,,Under 25,C Felony,Drug,Trafficking,Parole,7JD,Yes,Parole,474.0,D Felony,Violent,Assault,Yes,,,
4852,2011,2014,White - Non-Hispanic,,25-34,C Felony,Property,Theft,Parole,7JD,Yes,Parole,532.0,D Felony,Property,Forgery/Fraud,Yes,,,
4853,2011,2014,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,904.0,D Felony,Public Order,Weapons,No,,,
4854,2011,2014,White - Hispanic,,25-34,D Felony,Violent,Assault,Parole,Interstate Compact,No,Parole,,,,,No,,,
4855,2011,2014,White - Hispanic,,25-34,D Felony,Violent,Assault,Parole,Interstate Compact,No,Parole,,,,,No,,,
4856,2011,2014,White - Hispanic,,25-34,D Felony,Violent,Assault,Parole,Interstate Compact,No,Parole,,,,,No,,,
4857,2011,2014,Black - Non-Hispanic,,25-34,B Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,291.0,,,,Yes,,,
4858,2011,2014,Black - Non-Hispanic,,35-44,D Felony,Property,Arson,Parole,1JD,Yes,Parole,220.0,D Felony,Drug,Trafficking,Yes,,,
4859,2011,2014,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Other,Other Criminal,Special Sentence,4JD,Yes,Special Sentence,215.0,,,,Yes,,,
4860,2011,2014,White - Non-Hispanic,,45-54,Aggravated Misdemeanor,Public Order,Alcohol,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,712.0,Aggravated Misdemeanor,Public Order,Alcohol,No,,,
4861,2011,2014,White - Non-Hispanic,,25-34,D Felony,Property,Theft,Discharged – End of Sentence,,No,Discharged – End of Sentence,,,,,No,,,
4862,2011,2014,White - Non-Hispanic,,25-34,D Felony,Property,Forgery/Fraud,Parole,2JD,No,Parole,,,,,Yes,,,
4863,2011,2014,White - Non-Hispanic,,Under 25,D Felony,Property,Theft,Parole,7JD,No,Parole,,,,,Yes,,,
4864,2011,2014,White - Non-Hispanic,,25-34,Aggravated Misdemeanor,Public Order,Traffic,Parole,4JD,No,Parole,,,,,Yes,,,
